display  D   display_settings.c:486  _al_score_display_settings       [   0.01693] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01694] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01695] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01696] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01698] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01699] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01701] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01702] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01703] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01704] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01705] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01706] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01708] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01709] Score is : 593
