display  D   display_settings.c:486  _al_score_display_settings       [   0.03199] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03200] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03201] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03202] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.03204] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.03205] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.03206] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03207] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.03208] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03210] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03211] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03212] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.03213] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.03214] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.03216] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03217] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.03218] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03219] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03220] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03222] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.03223] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.03224] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.03225] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03226] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.03228] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03229] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03230] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03231] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.03232] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.03234] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.03235] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03236] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.03237] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03238] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03240] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03248] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.03249] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.03250] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.03251] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03253] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.03254] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03255] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03256] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03257] Score is : 593
