display  D   display_settings.c:486  _al_score_display_settings       [   2.79827] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   2.79828] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   2.79830] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   2.79831] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   2.79832] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   2.79833] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   2.79834] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   2.79835] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   2.79837] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   2.79838] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   2.79839] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   2.79840] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   2.79841] Score is : 593
