display  D   display_settings.c:486  _al_score_display_settings       [   0.02363] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02365] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02367] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02369] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02371] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02373] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02375] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02377] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02385] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02387] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02389] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02391] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02393] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02395] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02397] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02399] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02401] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02403] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02405] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02407] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02409] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02410] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02412] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02418] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02420] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02423] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02424] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02426] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02429] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02431] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02433] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02435] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02437] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02439] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02440] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02442] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02444] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02446] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02448] Score is : 585
