system   W            wsystem.c:504  load_library_at_path             [   0.00047] Failed to load C:\Users\Brad\Desktop\Dropbox\Grand Tale\Game\Tools\GTMod2Extreme\GTMod2Extreme\Debug\d3d9.dll (error: 126)
display  D   display_settings.c:357  _al_score_display_settings       [   0.05742] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05743] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05744] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05746] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05747] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05748] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05749] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05750] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05751] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05752] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05754] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05755] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05756] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05757] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05758] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05759] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05761] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05762] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05763] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05764] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05765] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05766] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05768] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05769] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05770] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05771] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05772] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05774] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05775] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05777] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05778] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05779] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05780] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05781] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05783] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05784] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05786] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05788] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05790] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05792] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05794] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05796] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05797] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05799] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05800] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05801] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05802] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05803] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05805] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05806] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05807] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05808] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.05809] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05810] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05811] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05813] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05814] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05815] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05819] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.05821] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.05822] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.05824] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.05825] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.05826] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.05828] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.05829] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.05830] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.05831] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.05832] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.05833] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.05834] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.05835] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.05836] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.05838] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.05839] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.05840] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.05841] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.05842] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.05843] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.05844] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.05845] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.05846] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.05848] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.05849] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.05850] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.05851] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.05852] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.05853] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.05854] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.05855] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.05856] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.05857] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.05859] Score is : 609
